text	integer	float	float	boolean
SystematicName	ControlType	gTotalGeneSignal	gTotalGeneError	gIsGeneDetected
hsa-miR-143-5p	0	0.1	1	0
hsa-miR-144-3p	0	0.1	1	0
hsa-miR-144-5p	0	0.1	1	0
hsa-miR-145-3p	0	0.1	1	0
hsa-miR-145-5p	0	0.1	1	0
hsa-miR-1468	0	0.1	1	0
hsa-miR-1469	0	0.1	1	0
hsa-miR-146a-3p	0	0.1	1	0
hsa-miR-146a-5p	0	4483.06	333.05	1
hsa-miR-146b-3p	0	0.1	1	0
hsa-miR-146b-5p	0	1020.68	77.7727	1
hsa-miR-1470	0	0.1	1	0
hsa-miR-1471	0	89.4568	7.30302	1
hsa-miR-147a	0	0.1	1	0
hsa-miR-147b	0	0.1	1	0
hsa-miR-148a-3p	0	299.363	21.7351	1
hsa-miR-148a-5p	0	0.1	1	0
hsa-miR-148b-3p	0	105.081	9.0667	1
hsa-miR-148b-5p	0	0.1	1	0
hsa-miR-149-3p	0	15.5619	2.13351	1
hsa-miR-149-5p	0	21.2109	3.94585	1
hsa-miR-150-3p	0	182.105	9.69902	1
hsa-miR-150-5p	0	8717.76	582.551	1
hsa-miR-151a-3p	0	71.7887	6.39424	1
hsa-miR-151a-5p	0	202.84	15.7591	1
hsa-miR-152	0	0.1	1	0
hsa-miR-153	0	0.1	1	0
hsa-miR-1537	0	0.1	1	0
hsa-miR-1538	0	0.1	1	0
hsa-miR-1539	0	22.6522	3.96076	1
hsa-miR-154-3p	0	0.1	1	0
hsa-miR-154-5p	0	0.1	1	0
hsa-miR-155-3p	0	0.1	1	0
hsa-miR-155-5p	0	1397.47	108.033	1
hsa-miR-15a-3p	0	0.1	1	0
hsa-miR-15a-5p	0	1833.75	135.44	1
hsa-miR-15b-3p	0	10.6427	1.66688	1
hsa-miR-15b-5p	0	2182.09	162.439	1
hsa-miR-16-1-3p	0	0.1	1	0
hsa-miR-16-2-3p	0	58.16	5.42305	1
hsa-miR-16-5p	0	8535.55	617.475	1
hsa-miR-17-3p	0	89.2738	8.15257	1
hsa-miR-17-5p	0	1223.82	76.3751	1
hsa-miR-181a-2-3p	0	22.1688	2.42377	1
hsa-miR-181a-3p	0	25.1337	4.06007	1
hsa-miR-181a-5p	0	1627.76	119.408	1
hsa-miR-181b-5p	0	362.187	26.839	1
hsa-miR-181c-3p	0	10.9105	1.96609	1
hsa-miR-181c-5p	0	103.621	8.59784	1
hsa-miR-181d	0	80.8596	7.12798	1
hsa-miR-182-3p	0	0.1	1	0
hsa-miR-182-5p	0	0.1	1	0
hsa-miR-1825	0	31.9292	4.26165	1
hsa-miR-1826_v15.0	0	128.118	13.0992	1
hsa-miR-1827	0	0.1	1	0
hsa-miR-183-3p	0	13.4818	1.8666	1
hsa-miR-183-5p	0	0.1	1	0
hsa-miR-184	0	0.1	1	0
hsa-miR-185-3p	0	0.1	1	0
hsa-miR-185-5p	0	141.551	10.8193	1
hsa-miR-186-3p	0	0.1	1	0
hsa-miR-186-5p	0	232.9	17.4035	1
hsa-miR-187-3p	0	0.1	1	0
hsa-miR-187-5p	0	11.4849	2.00406	1
hsa-miR-188-3p	0	0.1	1	0
hsa-miR-188-5p	0	3664.06	259.346	1
hsa-miR-18a-3p	0	0.1	1	0
hsa-miR-18a-5p	0	128.265	9.96844	1
hsa-miR-18b-3p	0	0.1	1	0
hsa-miR-18b-5p	0	73.6835	6.22527	1
hsa-miR-1908	0	0.1	1	0
hsa-miR-1909-3p	0	0.1	1	0
hsa-miR-1909-5p	0	0.1	1	0
hsa-miR-190a	0	0.1	1	0
hsa-miR-190b	0	13.1541	2.33824	1
hsa-miR-191-3p	0	30.8279	3.01423	1
hsa-miR-191-5p	0	0.1	1	0
hsa-miR-1910	0	0.1	1	0
hsa-miR-1911-3p	0	0.1	1	0
hsa-miR-1911-5p	0	0.1	1	0
hsa-miR-1912	0	0.1	1	0
hsa-miR-1913	0	0.1	1	0
hsa-miR-1914-3p	0	78.3162	6.64669	1
hsa-miR-1914-5p	0	0.1	1	0
hsa-miR-1915-3p	0	2203.57	155.98	1
hsa-miR-1915-5p	0	0.1	1	0
hsa-miR-192-3p	0	0.1	1	0
hsa-miR-192-5p	0	44.0198	4.78671	1
hsa-miR-193a-3p	0	0.1	1	0
hsa-miR-193a-5p	0	0.1	1	0
hsa-miR-193b-3p	0	103.149	9.68881	1
hsa-miR-193b-5p	0	0.1	1	0
hsa-miR-194-3p	0	0.1	1	0
hsa-miR-194-5p	0	40.8999	4.76775	1
hsa-miR-195-3p	0	19.3932	2.32091	1
hsa-miR-195-5p	0	41.0336	4.83683	1
hsa-miR-196a-3p	0	0.1	1	0
hsa-miR-196a-5p	0	8.93356	2.70757	1
hsa-miR-196b-5p	0	8.99809	2.71071	1
hsa-miR-197-3p	0	81.9354	7.2449	1
hsa-miR-198	0	76.6867	7.41369	1
hsa-miR-199a-3p	0	0.1	1	0
hsa-miR-199a-5p	0	0.1	1	0
hsa-miR-199b-5p	0	0.1	1	0
hsa-miR-19a-3p	0	1367.29	99.0101	1
hsa-miR-19a-5p	0	0.1	1	0
hsa-miR-19b-1-5p	0	0.1	1	0
hsa-miR-19b-2-5p	0	0.1	1	0
hsa-miR-19b-3p	0	5642.36	449.338	1
hsa-miR-200a-3p	0	0.1	1	0
hsa-miR-200a-5p	0	0.1	1	0
hsa-miR-200b-3p	0	0.1	1	0
hsa-miR-200b-5p	0	0.1	1	0
hsa-miR-200c-3p	0	0.1	1	0
hsa-miR-200c-5p	0	0.1	1	0
hsa-miR-202-3p	0	42.4917	4.71765	1
hsa-miR-202-5p	0	0.1	1	0
hsa-miR-203	0	0.1	1	0
hsa-miR-204-5p	0	0.1	1	0
hsa-miR-205-5p	0	0.1	1	0
hsa-miR-206	0	61.1701	5.65647	1
hsa-miR-208a	0	0.1	1	0
hsa-miR-208b	0	0.1	1	0
hsa-miR-20a-3p	0	32.6958	4.43713	1
hsa-miR-20a-5p	0	2429.68	182.457	1
hsa-miR-20b-3p	0	0.1	1	0
hsa-miR-20b-5p	0	1025.49	79.1308	1
hsa-miR-21-3p	0	35.5009	4.40102	1
hsa-miR-21-5p	0	4468.37	322.198	1
hsa-miR-210	0	79.3223	6.7679	1
hsa-miR-211-5p	0	0.1	1	0
hsa-miR-212-3p	0	141.435	10.821	1
hsa-miR-214-3p	0	0.1	1	0
hsa-miR-214-5p	0	0.1	1	0
hsa-miR-215	0	39.4659	4.56864	1
hsa-miR-216a	0	0.1	1	0
hsa-miR-216b	0	0.1	1	0
hsa-miR-217	0	0.1	1	0
hsa-miR-218-1-3p	0	0.1	1	0
hsa-miR-218-2-3p	0	0.1	1	0
hsa-miR-218-5p	0	0.1	1	0
hsa-miR-219-1-3p	0	0.1	1	0
hsa-miR-219-2-3p	0	0.1	1	0
hsa-miR-219-5p	0	50.667	5.10561	1
hsa-miR-22-3p	0	329.926	24.6904	1
hsa-miR-22-5p	0	0.1	1	0
hsa-miR-220a_v15.0	0	0.1	1	0
hsa-miR-220b_v15.0	0	0.1	1	0
hsa-miR-220c_v15.0	0	0.1	1	0
hsa-miR-221-3p	0	372.202	31.594	1
hsa-miR-221-5p	0	0.1	1	0
hsa-miR-222-3p	0	118.684	11.4371	1
hsa-miR-222-5p	0	0.1	1	0
hsa-miR-223-3p	0	95.8696	7.83956	1
hsa-miR-223-5p	0	0.1	1	0
hsa-miR-224-5p	0	0.1	1	0
hsa-miR-23a-3p	0	3504.53	264.374	1
hsa-miR-23a-5p	0	15.6062	2.3928	1
hsa-miR-23b-3p	0	133.198	11.5212	1
hsa-miR-23b-5p	0	0.1	1	0
hsa-miR-24-1-5p	0	0.1	1	0
hsa-miR-24-2-5p	0	0.1	1	0
hsa-miR-24-3p	0	1502.27	106.403	1
